Time,Lon,Lat
13:20:00,3.52450943,34.92641449
13:30:00,13.72489643,18.22956657
13:40:00,18.09926796,-7.883199215
13:50:00,13.62114716,-30.70646667
14:00:00,0.567254722,-38.85429382
14:10:00,-15.0380621,-31.20952034
14:20:00,-24.92637253,-10.21909428
14:30:00,-25.18810463,16.4390564
14:40:00,-17.49148369,34.65478897
14:50:00,-5.432518959,37.31346512
15:00:00,6.973187923,25.13876343
15:10:00,15.82514954,1.199887872
15:20:00,17.89293671,-24.33792496
15:30:00,10.56490231,-37.8872757
15:40:00,-4.124548435,-35.29944992
15:50:00,-18.87631607,-18.35809326
16:00:00,-26.08825874,7.788542271
16:10:00,-23.67656517,30.15047646
16:20:00,-14.27129745,38.06912231
16:30:00,-1.614693642,30.65960503
16:40:00,10.13416004,10.01124191
16:50:00,17.34389114,-16.56783295
17:00:00,16.81273651,-35.11550903
17:10:00,6.815321922,-37.78882599
17:20:00,-8.857273102,-25.3619442
17:30:00,-22.05272484,-1.261111259
17:40:00,-26.39021111,23.9702816
17:50:00,-21.5362072,37.13701248
18:00:00,-10.74409962,34.6660881
18:10:00,2.135077477,18.05500221
18:20:00,12.92207527,-7.87663269
18:30:00,18.19974518,-30.52490044
18:40:00,14.8687973,-38.61107635
18:50:00,2.514189243,-30.99024963
19:00:00,-13.39544964,-10.10912609
19:10:00,-24.43921852,16.36811066
19:20:00,-25.87415123,34.45780945
19:30:00,-18.86247444,37.09136963
19:40:00,-7.008862019,24.96208954
19:50:00,5.703249454,1.150424004
20:00:00,15.2478447,-24.22647858
20:10:00,18.32257462,-37.69316101
20:20:00,12.10285091,-35.10506439
20:30:00,-2.149057865,-18.22860146
20:40:00,-17.51693916,7.779741764
20:50:00,-25.96683121,30.01137161
21:00:00,-24.61170197,37.88523483
21:10:00,-15.75521469,30.4944706
21:20:00,-3.168599367,9.928890228
21:30:00,9.017030716,-16.51578522
21:40:00,17.02682114,-34.96782684
21:50:00,17.60707855,-37.62248611
22:00:00,8.589262962,-25.2303791
22:10:00,-6.950963497,-1.226591587
22:20:00,-21.02830696,23.88341904
22:30:00,-26.61858559,36.98973846
22:40:00,-22.68548393,34.51937485
22:50:00,-12.30588818,17.9580307
23:00:00,0.665989995,-7.870621681
23:10:00,11.99395943,-30.42058945
23:20:00,18.17354774,-38.47297287
23:30:00,16.00462341,-30.86696625
23:40:00,4.448375225,-10.04888153
23:50:00,-11.65294456,16.3258667
0:00:00,-23.78187561,34.34513092
0:10:00,-26.4209671,36.9655838
0:20:00,-20.1853714,24.86327171
0:30:00,-8.606663704,1.124584436
0:40:00,4.346644402,-24.16141319
0:50:00,14.54248428,-37.58228683
1:00:00,18.61100388,-34.99524689
1:10:00,13.5471859,-18.15681267
1:20:00,-0.142812297,7.772576809
1:30:00,-16.01965714,29.9309845
1:40:00,-25.68250275,37.78053665
1:50:00,-25.43790627,30.40161514
2:00:00,-17.21044922,9.884092331
2:10:00,-4.761281013,-16.4841423
2:20:00,7.803524017,-34.88280106
2:30:00,16.57525635,-37.52804947
2:40:00,18.26212692,-25.15690804
2:50:00,10.29769897,-1.209098697
3:00:00,-4.971977711,23.83228302
3:10:00,-19.84423828,36.90534592
3:20:00,-26.69881439,34.43646622
3:30:00,-23.75219345,17.90454292
3:40:00,-13.85831738,-7.865036964
3:50:00,-4.761281013,-16.4841423
4:00:00,7.803524017,-34.88280106
4:10:00,16.57525635,-37.52804947
4:20:00,18.26212692,-25.15690804
4:30:00,10.29769897,-1.209098697
4:40:00,-4.971977711,23.83228302
4:50:00,-19.84423828,36.90534592
5:00:00,-26.69881439,34.43646622
5:10:00,-23.75219345,17.90454292
5:20:00,-13.85831738,-7.865036964
5:30:00,-9.951350212,-29.30366707
5:40:00,0.246402472,-37.24468613
5:50:00,7.045853138,-29.29253387
6:00:00,6.768918514,-6.983013153
6:10:00,-1.614343166,20.54205513
6:20:00,-15.43846321,38.27513123
6:30:00,-26.29851913,39.95178986
6:40:00,-30.08249855,26.29235458
6:50:00,-25.55151367,0.577390552
7:00:00,-16.34307861,-25.75135994
7:10:00,-8.821046829,-38.90190125
7:20:00,-0.380800933,-35.10484695
7:30:00,3.985486269,-15.32787704
7:40:00,1.539266586,14.20572376
7:50:00,-7.846719742,37.35170364
8:00:00,-20.32376289,43.72742081
8:10:00,-28.46657181,33.67835999
8:20:00,-29.59413338,9.124570847
8:30:00,-23.91724205,-20.50208473
8:40:00,-14.8855505,-39.18236923
8:50:00,-6.625649452,-40.120121
9:00:00,0.150333777,-23.77868843
9:10:00,2.199009895,6.048742771
9:20:00,-2.261741877,34.23003387
9:30:00,-12.31586361,45.88214111
9:40:00,-23.25020981,39.95177841
9:50:00,-28.94358063,17.97502708
10:00:00,-27.86285782,-13.48635674
10:10:00,-21.31892395,-37.55081177
10:20:00,-12.49699497,-43.59174347
10:30:00,-4.645112514,-31.48767471
10:40:00,0.435575932,-3.202370167
10:50:00,0.350396335,28.96833038
11:00:00,-5.779207706,46.3109169
11:10:00,-15.95807171,44.8792038
11:20:00,-25.10483742,26.493536
11:30:00,-28.48806381,-5.014347076
11:40:00,-25.63813782,-33.90217972
11:50:00,-18.51994896,-45.37369537
12:00:00,-10.09031677,-37.94430542
12:10:00,-3.170543671,-12.7539444
12:20:00,0.176117107,21.70680237
12:30:00,-1.836056471,44.9160881
12:40:00,-9.184914589,48.33795547
12:50:00,-18.93816757,34.14620972
13:00:00,-26.12557793,4.308893681
13:10:00,-27.40110588,-28.2783947
13:20:00,-23.19498825,-45.41093826
13:30:00,-15.79816628,-42.92364502
13:40:00,-7.969559669,-21.86988068
13:50:00,-2.257726192,12.84496593
14:00:00,-0.647600591,41.59552002
14:10:00,-4.333641052,50.29195786
14:20:00,-12.40060806,40.5882988
14:30:00,-21.2518158,13.81735134
14:40:00,-26.42537498,-20.88365173
14:50:00,-25.86528015,-43.67490387
15:00:00,-20.68133163,-46.35046005
15:10:00,-13.28361607,-30.00730896
15:20:00,-6.250786781,2.995544672
15:30:00,-1.903101683,36.30625534
15:40:00,-1.975426793,50.71668625
15:50:00,-7.022895336,45.66064453
16:00:00,-15.2999115,22.90462875
16:10:00,-22.88773537,-12.09883118
16:20:00,-26.10881424,-40.1422348
16:30:00,-24.02387047,-48.22243881
16:40:00,-18.20257187,-36.84549713
16:50:00,-11.05391407,-7.128180027
17:00:00,-4.983525753,29.13555145
17:10:00,-2.079919815,49.55505371
17:20:00,-3.714415789,49.32995605
17:30:00,-9.757331848,31.10216141
17:40:00,-17.77111816,-2.450936794
17:50:00,-23.86562157,-34.82136536
18:00:00,-25.2880497,-48.54747772
18:10:00,-21.99866104,-42.24305344
18:20:00,-15.84279537,-16.85655785
18:30:00,-9.162031174,20.36473083
18:40:00,-4.18632412,46.71197891
18:50:00,-2.743264675,51.61556244
19:00:00,-5.752064705,38.10992813
19:10:00,-12.39117432,7.470572948
19:20:00,-19.73835373,-27.81065178
19:30:00,-24.23762703,-47.31056213
19:40:00,-24.07757187,-46.16858292
19:50:00,-19.89432907,-25.67485619
20:00:00,-13.67091846,10.47568989
20:10:00,-7.644649029,42.09296036
20:20:00,-3.857005119,52.52886963
20:30:00,-3.830191374,43.78527069
20:40:00,-7.964279652,17.10559273
20:50:00,-14.79560089,-19.35470581
21:00:00,-21.16662598,-44.46910095
21:10:00,-24.0794735,-48.63895416
21:20:00,-22.58752441,-33.26157379
21:30:00,-17.80039597,0.085875109
21:40:00,-11.74277687,35.67564774
21:50:00,-6.52439642,52.03587341
22:00:00,-3.97542572,48.09882355
22:10:00,-5.260853291,25.98997307
22:20:00,-10.22410965,-9.856574059
22:30:00,-16.86915779,-39.97637939
22:40:00,-22.05878067,-49.67311859
22:50:00,-23.48018837,-39.46030807
23:00:00,-20.91942596,-10.16311359
23:10:00,-15.79262066,27.58792305
23:20:00,-10.10204506,50.04729843
23:30:00,-5.810228825,51.07668686
23:40:00,-4.504276276,33.79180908
23:50:00,-6.941710472,0.171040505
0:00:00,-12.41093349,-33.83239746
0:10:00,-18.5432682,-49.26382065
0:20:00,-22.44822884,-44.22396088
0:30:00,-22.53343964,-19.71860123
0:40:00,-19.16404533,18.15396118
0:50:00,-13.93418026,46.44085312
1:00:00,-8.780508041,52.7480278
1:10:00,-5.497110367,40.32026291
1:20:00,-5.390173912,10.18807125
1:30:00,-8.770830154,-26.14923859
1:40:00,-14.41920853,-47.36876678
1:50:00,-19.78315353,-47.5620842
2:00:00,-22.39017105,-28.18779564
2:10:00,-21.33132172,7.877435207
2:20:00,-17.40077972,41.11614609
2:30:00,-12.27642918,53.10689545
2:40:00,-7.797967911,45.50534821
2:50:00,-5.565844536,19.70238495
3:00:00,-6.565658092,-17.19711494
3:10:00,-10.64458942,-43.92168808
3:20:00,-16.16515541,-49.49917603
3:30:00,-20.58480644,-35.34565735
3:40:00,-21.9531498,-2.636804104
3:50:00,-19.96034241,34.0710907
4:00:00,-15.69778442,52.09208298
4:10:00,-10.85950375,49.35467911
4:20:00,-7.162074566,28.32028389
4:30:00,-5.983264923,-7.396947861
4:40:00,-7.952583313,-38.86637115
4:50:00,-12.46476364,-50.04372406
5:00:00,-17.59061241,-41.0965271
5:10:00,-20.9696331,-12.79248428
5:20:00,-21.21190262,25.47285843
5:30:00,-18.49925423,49.59037399
5:40:00,-15.69778442,52.09208298
5:50:00,-10.85950375,49.35467911
6:00:00,-7.162074566,28.3202877
6:10:00,-5.983264923,-7.396948814
6:20:00,-7.952583313,-38.86637115
6:30:00,-12.46476364,-50.04372406
6:40:00,-17.59061241,-41.0965271
6:50:00,-20.9696331,-12.79248333
7:00:00,-21.21190262,25.47285843
7:10:00,-18.49925423,49.59037399
7:20:00,-3.227188349,47.36317825
7:30:00,2.17563796,31.01060677
7:40:00,4.364746571,-0.514441669
7:50:00,3.394562244,-33.37269592
8:00:00,-1.152070165,-47.95782471
8:10:00,-7.406054974,-42.65018845
8:20:00,-13.73988628,-20.51100731
8:30:00,-15.57784462,11.85085487
8:40:00,-13.86623192,37.53560638
8:50:00,-8.687030792,44.51717377
9:00:00,1.08599174,33.57115173
9:10:00,5.977825642,8.037467003
9:20:00,7.258472443,-22.3920517
9:30:00,4.731769085,-41.22063065
9:40:00,-1.048288822,-42.06283951
9:50:00,-7.784730911,-26.45962715
10:00:00,-13.02938366,1.420798898
10:10:00,-13.36961365,28.32041359
10:20:00,-10.08133984,40.24248123
10:30:00,-4.145083904,35.30811691
10:40:00,3.174697399,15.64914989
10:50:00,7.154787064,-12.41357708
11:00:00,7.368128777,-34.36546326
11:10:00,3.623690844,-40.44166183
11:20:00,-2.759752274,-30.52189255
11:30:00,-9.105099678,-7.484369278
11:40:00,-12.74317455,19.33769608
11:50:00,-11.71030045,35.61723328
12:00:00,-7.406256676,35.88577652
12:10:00,-1.385363221,21.55218506
12:20:00,4.490635872,-3.261222124
12:30:00,7.364325523,-27.04579544
12:40:00,6.401981354,-37.90504074
12:50:00,1.725688457,-33.19762039
13:00:00,-4.770565987,-14.87612438
13:10:00,-10.2045517,10.57636261
13:20:00,-12.22670078,30.18891907
13:30:00,-10.03326797,35.366436
13:40:00,-5.151037693,25.98887634
13:50:00,0.618683338,4.888048649
14:00:00,5.351482868,-19.35373688
14:10:00,7.028706551,-34.31874466
14:20:00,4.920251846,-34.55288315
14:30:00,-0.383297473,-20.89277649
14:40:00,-6.574061394,2.225998402
14:50:00,-10.82454109,23.97330284
15:00:00,-11.37952614,33.68312454
15:10:00,-8.274688721,29.04945183
15:20:00,-3.141509533,11.95656586
15:30:00,2.160722494,-11.49837017
15:40:00,5.811460972,-29.69314957
15:50:00,6.28000164,-34.60978317
16:00:00,3.164881229,-25.55449104
16:10:00,-2.440684795,-5.499770164
16:20:00,-7.99126339,17.11240005
